FeatureID,PartID,X,Y,Z,SLB_WHI_ID
0,1,292147.852868288,9105709.47715864,0,3da2bd65-4c0e-418c-be2a-4c35e4c9a32b
0,1,292243.979037882,9105681.91342306,0,3da2bd65-4c0e-418c-be2a-4c35e4c9a32b
0,1,292216.4153023,9105585.78725346,0,3da2bd65-4c0e-418c-be2a-4c35e4c9a32b
0,1,292120.289132706,9105613.35098904,0,3da2bd65-4c0e-418c-be2a-4c35e4c9a32b
0,1,292147.852868288,9105709.47715864,0,3da2bd65-4c0e-418c-be2a-4c35e4c9a32b
1,1,292243.979037882,9105681.91342306,0,32a7fca6-635a-4b7c-b147-5cdfb5ddeb9e
1,1,292340.105207476,9105654.34968747,0,32a7fca6-635a-4b7c-b147-5cdfb5ddeb9e
1,1,292312.541471894,9105558.22351788,0,32a7fca6-635a-4b7c-b147-5cdfb5ddeb9e
1,1,292216.4153023,9105585.78725346,0,32a7fca6-635a-4b7c-b147-5cdfb5ddeb9e
1,1,292243.979037882,9105681.91342306,0,32a7fca6-635a-4b7c-b147-5cdfb5ddeb9e
2,1,292340.105207476,9105654.34968747,0,cb87def0-7702-486c-9911-e91cedc2aaf9
2,1,292436.231377069,9105626.78595189,0,cb87def0-7702-486c-9911-e91cedc2aaf9
2,1,292408.667641488,9105530.6597823,0,cb87def0-7702-486c-9911-e91cedc2aaf9
2,1,292312.541471894,9105558.22351788,0,cb87def0-7702-486c-9911-e91cedc2aaf9
2,1,292340.105207476,9105654.34968747,0,cb87def0-7702-486c-9911-e91cedc2aaf9
3,1,292436.231377069,9105626.78595189,0,a8b389d2-97da-4134-95b0-926600bffd4a
3,1,292532.357546663,9105599.22221631,0,a8b389d2-97da-4134-95b0-926600bffd4a
3,1,292504.793811082,9105503.09604672,0,a8b389d2-97da-4134-95b0-926600bffd4a
3,1,292408.667641488,9105530.6597823,0,a8b389d2-97da-4134-95b0-926600bffd4a
3,1,292436.231377069,9105626.78595189,0,a8b389d2-97da-4134-95b0-926600bffd4a
4,1,292532.357546663,9105599.22221631,0,a85435e1-dae9-41be-8519-48bcab607d3c
4,1,292628.483716257,9105571.65848073,0,a85435e1-dae9-41be-8519-48bcab607d3c
4,1,292600.919980675,9105475.53231114,0,a85435e1-dae9-41be-8519-48bcab607d3c
4,1,292504.793811082,9105503.09604672,0,a85435e1-dae9-41be-8519-48bcab607d3c
4,1,292532.357546663,9105599.22221631,0,a85435e1-dae9-41be-8519-48bcab607d3c
5,1,292628.483716257,9105571.65848073,0,d852ea4b-a2fb-4802-9ef8-b36cee3c4fb7
5,1,292724.609885851,9105544.09474515,0,d852ea4b-a2fb-4802-9ef8-b36cee3c4fb7
5,1,292697.046150269,9105447.96857555,0,d852ea4b-a2fb-4802-9ef8-b36cee3c4fb7
5,1,292600.919980675,9105475.53231114,0,d852ea4b-a2fb-4802-9ef8-b36cee3c4fb7
5,1,292628.483716257,9105571.65848073,0,d852ea4b-a2fb-4802-9ef8-b36cee3c4fb7
6,1,292724.609885851,9105544.09474515,0,97f881d7-196a-4fe9-858a-fd73823a21d1
6,1,292820.736055445,9105516.53100957,0,97f881d7-196a-4fe9-858a-fd73823a21d1
6,1,292793.172319863,9105420.40483997,0,97f881d7-196a-4fe9-858a-fd73823a21d1
6,1,292697.046150269,9105447.96857555,0,97f881d7-196a-4fe9-858a-fd73823a21d1
