FeatureID,PartID,X,Y,Z,,SLB_WHI_ID,,,,,FeatureID,X,Y,Z
0,1,292147.8529,9105709.477,0,,70a5f2b5-c87e-42d0-8ad1-955e0abfae97,,,,,0,292182.1341,9105647.632,7.9017
0,1,292243.979,9105681.913,0,,70a5f2b5-c87e-42d0-8ad1-955e0abfae97,,,,,1,292278.2603,9105620.068,8.2603
0,1,292216.4153,9105585.787,0,,70a5f2b5-c87e-42d0-8ad1-955e0abfae97,,,,,2,292374.3864,9105592.505,7.8561
0,1,292120.2891,9105613.351,0,,70a5f2b5-c87e-42d0-8ad1-955e0abfae97,,,,,3,292470.5126,9105564.941,7.4142
1,1,292243.979,9105681.913,0,,b4d7c5ac-68f7-46d7-b38f-371f11d163c7,,,,,4,292566.6388,9105537.377,7.1246
1,1,292340.1052,9105654.35,0,,b4d7c5ac-68f7-46d7-b38f-371f11d163c7,,,,,5,292662.7649,9105509.814,5.2422
1,1,292312.5415,9105558.224,0,,b4d7c5ac-68f7-46d7-b38f-371f11d163c7,,,,,6,292758.8911,9105482.25,2.8419
1,1,292216.4153,9105585.787,0,,b4d7c5ac-68f7-46d7-b38f-371f11d163c7,,,,,7,292855.0173,9105454.686,1.1528
2,1,292340.1052,9105654.35,0,,401b62ec-b1d7-4c4a-a4bc-7d6fd540fcde,,,,,8,292951.1434,9105427.122,0.27957
2,1,292436.2314,9105626.786,0,,401b62ec-b1d7-4c4a-a4bc-7d6fd540fcde,,,,,9,293047.2696,9105399.559,0
2,1,292408.6676,9105530.66,0,,401b62ec-b1d7-4c4a-a4bc-7d6fd540fcde,,,,,10,293143.3958,9105371.995,0
2,1,292312.5415,9105558.224,0,,401b62ec-b1d7-4c4a-a4bc-7d6fd540fcde,,,,,11,292154.5703,9105551.506,7.7481
3,1,292436.2314,9105626.786,0,,11e4fbf5-6781-4b1d-b06e-ed4336d4d3f1,,,,,12,292250.6965,9105523.942,7.4253
3,1,292532.3575,9105599.222,0,,11e4fbf5-6781-4b1d-b06e-ed4336d4d3f1,,,,,13,292346.8227,9105496.379,7.1724
3,1,292504.7938,9105503.096,0,,11e4fbf5-6781-4b1d-b06e-ed4336d4d3f1,,,,,14,292442.9489,9105468.815,7.2244
3,1,292408.6676,9105530.66,0,,11e4fbf5-6781-4b1d-b06e-ed4336d4d3f1,,,,,15,292539.075,9105441.251,7.0469
4,1,292532.3575,9105599.222,0,,a7f04ac9-5139-48b8-9054-bc5c1805e40f,,,,,16,292635.2012,9105413.687,5.947
4,1,292628.4837,9105571.658,0,,a7f04ac9-5139-48b8-9054-bc5c1805e40f,,,,,17,292731.3274,9105386.124,3.3033
4,1,292600.92,9105475.532,0,,a7f04ac9-5139-48b8-9054-bc5c1805e40f,,,,,18,292827.4535,9105358.56,0.54134
4,1,292504.7938,9105503.096,0,,a7f04ac9-5139-48b8-9054-bc5c1805e40f,,,,,19,292923.5797,9105330.996,0
5,1,292628.4837,9105571.658,0,,b957abbc-80e3-46cf-a58d-816fdbfeeac6,,,,,20,293019.7059,9105303.432,0
5,1,292724.6099,9105544.095,0,,b957abbc-80e3-46cf-a58d-816fdbfeeac6,,,,,21,293115.832,9105275.869,0
5,1,292697.0462,9105447.969,0,,b957abbc-80e3-46cf-a58d-816fdbfeeac6,,,,,22,292127.0066,9105455.38,7.6969
5,1,292600.92,9105475.532,0,,b957abbc-80e3-46cf-a58d-816fdbfeeac6,,,,,23,292223.1328,9105427.816,7.7893
6,1,292724.6099,9105544.095,0,,3e9640b3-257d-472d-8985-fa1b300ad56d,,,,,24,292319.259,9105400.252,7.5741
6,1,292820.7361,9105516.531,0,,3e9640b3-257d-472d-8985-fa1b300ad56d,,,,,25,292415.3851,9105372.689,7.2335
6,1,292793.1723,9105420.405,0,,3e9640b3-257d-472d-8985-fa1b300ad56d,,,,,26,292511.5113,9105345.125,6.4209
6,1,292697.0462,9105447.969,0,,3e9640b3-257d-472d-8985-fa1b300ad56d,,,,,27,292607.6375,9105317.561,4.9259
7,1,292820.7361,9105516.531,0,,4be0c7d2-424c-4b9e-9920-cb6a57e61244,,,,,28,292703.7636,9105289.997,3.5539
7,1,292916.8622,9105488.967,0,,4be0c7d2-424c-4b9e-9920-cb6a57e61244,,,,,29,292799.8898,9105262.434,1.858
7,1,292889.2985,9105392.841,0,,4be0c7d2-424c-4b9e-9920-cb6a57e61244,,,,,30,292896.016,9105234.87,0.03478
7,1,292793.1723,9105420.405,0,,4be0c7d2-424c-4b9e-9920-cb6a57e61244,,,,,31,292992.1421,9105207.306,0
8,1,292916.8622,9105488.967,0,,236f81b4-a81a-4a44-9c09-12552340ff6c,,,,,32,293088.2683,9105179.743,0
8,1,293012.9884,9105461.404,0,,236f81b4-a81a-4a44-9c09-12552340ff6c,,,,,33,292099.4429,9105359.254,7.9998
8,1,292985.4247,9105365.277,0,,236f81b4-a81a-4a44-9c09-12552340ff6c,,,,,34,292195.569,9105331.69,7.7063
8,1,292889.2985,9105392.841,0,,236f81b4-a81a-4a44-9c09-12552340ff6c,,,,,35,292291.6952,9105304.126,7.4774
9,1,293012.9884,9105461.404,0,,db40e092-0464-41e2-9628-f2b6edf2606c,,,,,36,292387.8214,9105276.562,7.1822
9,1,293109.1146,9105433.84,0,,db40e092-0464-41e2-9628-f2b6edf2606c,,,,,37,292483.9476,9105248.999,6.2306
9,1,293081.5508,9105337.714,0,,db40e092-0464-41e2-9628-f2b6edf2606c,,,,,38,292580.0737,9105221.435,5.0955
9,1,292985.4247,9105365.277,0,,db40e092-0464-41e2-9628-f2b6edf2606c,,,,,39,292676.1999,9105193.871,3.5548
10,1,293109.1146,9105433.84,0,,528ccb55-706d-4017-9f90-1395cb759fd9,,,,,40,292772.3261,9105166.308,1.9654
10,1,293205.2407,9105406.276,0,,528ccb55-706d-4017-9f90-1395cb759fd9,,,,,41,292868.4522,9105138.744,0.082805
10,1,293177.677,9105310.15,0,,528ccb55-706d-4017-9f90-1395cb759fd9,,,,,42,292964.5784,9105111.18,0
10,1,293081.5508,9105337.714,0,,528ccb55-706d-4017-9f90-1395cb759fd9,,,,,43,293060.7046,9105083.616,0
11,1,292120.2891,9105613.351,0,,7880d6b4-fd86-4304-a466-6e040a48e793,,,,,44,292071.8791,9105263.128,8.0663
11,1,292216.4153,9105585.787,0,,7880d6b4-fd86-4304-a466-6e040a48e793,,,,,45,292168.0053,9105235.564,8.5782
11,1,292188.8516,9105489.661,0,,7880d6b4-fd86-4304-a466-6e040a48e793,,,,,46,292264.1315,9105208,8.9304
11,1,292092.7254,9105517.225,0,,7880d6b4-fd86-4304-a466-6e040a48e793,,,,,47,292360.2577,9105180.436,9.3128
