FeatureID,X,Y,Elevation
0,292182.1341,9105647.632,-26.369
1,292278.2603,9105620.068,-26.641001
2,292374.3864,9105592.505,-27.374001
3,292470.5126,9105564.941,-28.67
4,292566.6388,9105537.377,-28.969
5,292662.7649,9105509.814,-29.952
6,292758.8911,9105482.25,-32.845001
7,292855.0173,9105454.686,-33.472
8,292951.1434,9105427.122,-37.066002
9,293047.2696,9105399.559,-40.021
10,293143.3958,9105371.995,-45.278
11,292154.5703,9105551.506,-45.488998
12,292250.6965,9105523.942,-50.013
13,292346.8227,9105496.379,-51.995998
14,292442.9489,9105468.815,-51.131
15,292539.075,9105441.251,-54.936001
16,292635.2012,9105413.687,-52.058998
17,292731.3274,9105386.124,-55.969002
18,292827.4535,9105358.56,-51.401001
19,292923.5797,9105330.996,-55.416
20,293019.7059,9105303.432,-52.051998
21,293115.832,9105275.869,-55.962002
22,292127.0066,9105455.38,-28.865
23,292223.1328,9105427.816,-28.964001
24,292319.259,9105400.252,-32.537998
25,292415.3851,9105372.689,-35.234001
26,292511.5113,9105345.125,-40.806
27,292607.6375,9105317.561,-46.354999
28,292703.7636,9105289.997,-50.077999
29,292799.8898,9105262.434,-55.040001
30,292896.016,9105234.87,-58.494
31,292992.1421,9105207.306,-59.541
32,293088.2683,9105179.743,-59.872002
33,292099.4429,9105359.254,-30.888001
34,292195.569,9105331.69,-29.947001
35,292291.6952,9105304.126,-31.848
36,292387.8214,9105276.562,-35.448002
37,292483.9476,9105248.999,-40.381
38,292580.0737,9105221.435,-44.722
39,292676.1999,9105193.871,-51.587002
40,292772.3261,9105166.308,-58.381
41,292868.4522,9105138.744,-62.707001
42,292964.5784,9105111.18,-62.983002
43,293060.7046,9105083.616,-62.212002
44,292071.8791,9105263.128,-32.733002
45,292168.0053,9105235.564,-29.672001
46,292264.1315,9105208,-28.733999
47,292360.2577,9105180.436,-31.268
48,292456.3838,9105152.873,-37.076
49,292552.51,9105125.309,-47.988998
50,292648.6362,9105097.745,-57.558998
51,292744.7623,9105070.181,-63.048
52,292840.8885,9105042.618,-67.377998
53,292937.0147,9105015.054,-66.765999
54,293033.1408,9104987.49,-67.328003
55,292044.3154,9105167.001,-33.237
56,292140.4416,9105139.438,-31.551001
57,292236.5677,9105111.874,-30.101
58,292344.121,9105063.695,-33.386002
59,292428.8201,9105056.746,-43.756
60,292524.9463,9105029.183,-53.417999
61,292621.0724,9105001.619,-63.145001
62,292717.1986,9104974.055,-68.811997
63,292813.3248,9104946.491,-71.595001
64,292909.4509,9104918.928,-70.842003
65,293005.5771,9104891.364,-71.614998
66,292016.7517,9105070.875,-33.210999
67,292112.8778,9105043.311,-34.597
68,292209.004,9105015.748,-37.615002
69,292305.1302,9104988.184,-41.615002
70,292401.2564,9104960.62,-53.577
71,292497.3825,9104933.057,-66.559998
72,292593.5087,9104905.493,-72.799004
73,292689.6349,9104877.929,-74.621002
74,292785.761,9104850.365,-75.013001
75,292881.8872,9104822.802,-74.525002
76,292978.0134,9104795.238,-75.041
77,291989.1879,9104974.749,-35.988998
78,292085.3141,9104947.185,-35.330002
79,292181.4403,9104919.622,-43.445
80,292277.5664,9104892.058,-52.215
81,292373.6926,9104864.494,-64.476997
82,292469.8188,9104836.93,-71.263001
83,292565.945,9104809.367,-75.593002
84,292662.0711,9104781.803,-75.655998
85,292758.1973,9104754.239,-75.678001
86,292854.3235,9104726.675,-75.653
87,292950.4496,9104699.112,-75.677002
88,291961.6242,9104878.623,-35.487999
89,292057.7504,9104851.059,-38.455002
90,292153.8765,9104823.495,-48.313
91,292250.0027,9104795.932,-57.254002
92,292346.1289,9104768.368,-64.836998
93,292442.255,9104740.804,-72.458
94,292538.3812,9104713.24,-75.264999
95,292634.5074,9104685.677,-75.824997
96,292730.6336,9104658.113,-75.848
97,292826.7597,9104630.549,-75.825996
98,292922.8859,9104602.985,-75.848
99,291934.0605,9104782.497,-34.599998
100,292030.1866,9104754.933,-40.119
101,292126.3128,9104727.369,-47.632
102,292222.439,9104699.805,-58.587002
103,292318.5651,9104672.242,-66.917999
104,292414.6913,9104644.678,-72.092003
105,292510.8175,9104617.114,-74.954002
106,292606.9437,9104589.551,-75.828003
107,292703.0698,9104561.987,-76.009003
108,292799.196,9104534.423,-75.986
109,292895.3222,9104506.859,-76.018997
110,291906.4967,9104686.371,-35.467999
111,292002.6229,9104658.807,-36.994
112,292098.7491,9104631.243,-48.397999
113,292194.8752,9104603.679,-56.183998
114,292291.0014,9104576.116,-65.897003
115,292387.1276,9104548.552,-71.167
116,292483.2537,9104520.988,-73.485001
117,292579.3799,9104493.424,-75.642998
118,292675.5061,9104465.861,-76.123001
119,292771.6323,9104438.297,-76.146004
120,292867.7584,9104410.733,-76.141998
121,291878.933,9104590.244,-34.591999
122,291975.0592,9104562.681,-35.007
123,292071.1853,9104535.117,-43.648998
124,292167.3115,9104507.553,-54.756
125,292263.4377,9104479.989,-62.694
126,292359.5638,9104452.426,-68.473
127,292455.69,9104424.862,-72.68
128,292551.8162,9104397.298,-74.987999
129,292647.9424,9104369.734,-75.998001
130,292744.0685,9104342.171,-76.324997
131,292840.1947,9104314.607,-76.348
132,291851.3693,9104494.118,-33.903
133,291947.4954,9104466.554,-35.681
134,292043.6216,9104438.991,-39.775002
135,292139.7478,9104411.427,-47.744
136,292235.8739,9104383.863,-57.268002
137,292332.0001,9104356.299,-67.152
138,292428.1263,9104328.736,-72.066002
139,292524.2524,9104301.172,-75.688003
140,292620.3786,9104273.608,-76.529999
141,292716.5048,9104246.045,-76.495003
142,292812.631,9104218.481,-76.527
143,291823.8055,9104397.992,-34.241001
144,291919.9317,9104370.428,-34.611
145,292016.0579,9104342.865,-39.402
146,292112.184,9104315.301,-44.807999
147,292208.3102,9104287.737,-52.935001
148,292304.4364,9104260.173,-63.918999
149,292400.5625,9104232.61,-73.223999
150,292496.6887,9104205.046,-75.916
151,292592.8149,9104177.482,-76.702004
152,292688.941,9104149.918,-76.68
153,292785.0672,9104122.355,-76.702004
