Z,TOP,BOTTOM,TICKNES,ROW,COLUMN,LAYER
-34.643002,-34.143002,-35.143002,1.000000,7,50,5
-35.033001,-34.533001,-35.533001,1.000000,7,51,5
-36.617001,-36.117001,-37.117001,1.000000,8,50,5
-37.723999,-37.223999,-38.223999,1.000000,8,51,5
-37.092999,-36.592999,-37.592999,1.000000,7,52,5
-38.956001,-38.456001,-39.456001,1.000000,8,52,5
-40.417999,-39.917999,-40.917999,1.000000,7,53,5
-41.970001,-41.470001,-42.470001,1.000000,8,53,5
-44.095001,-43.595001,-44.595001,1.000000,7,54,5
-47.408001,-46.908001,-47.908001,1.000000,8,54,5
-51.205002,-50.705002,-51.705002,1.000000,7,55,5
-52.021999,-51.521999,-52.521999,1.000000,8,55,5
-55.386002,-54.886002,-55.886002,1.000000,7,56,5
-57.490002,-56.990002,-57.990002,1.000000,8,56,5
-56.408001,-55.908001,-56.908001,1.000000,7,57,5
-59.865002,-59.365002,-60.365002,1.000000,8,57,5
-57.244999,-56.744999,-57.744999,1.000000,7,58,5
-60.707001,-60.207001,-61.207001,1.000000,8,58,5
-56.661999,-56.161999,-57.161999,1.000000,7,59,5
-60.217999,-59.717999,-60.717999,1.000000,8,59,5
-57.238998,-56.738998,-57.738998,1.000000,7,60,5
-60.701000,-60.201000,-61.201000,1.000000,8,60,5
-39.159000,-38.659000,-39.659000,1.000000,9,50,5
-39.119000,-38.619000,-39.619000,1.000000,9,51,5
-42.081001,-41.581001,-42.581001,1.000000,9,52,5
-44.459000,-43.959000,-44.959000,1.000000,9,53,5
-49.104000,-48.604000,-49.604000,1.000000,9,54,5
-53.622002,-53.122002,-54.122002,1.000000,9,55,5
-56.551998,-56.051998,-57.051998,1.000000,9,56,5
-60.403000,-59.903000,-60.903000,1.000000,9,57,5
-63.016998,-62.516998,-63.516998,1.000000,9,58,5
-63.870001,-63.369999,-64.370003,1.000004,9,59,5
-64.163000,-63.662998,-64.663002,1.000004,9,60,5
