FeatureID,PartID,X,Y,Z,SLB_WHI_ID,,,,,,FeatureID,PartID,X,Y
0,1,292147.8529,9105709.477,0,ec24b4c7-4d00-452c-b63a-35a62f37e8bf,,,,0,,0,1,292147.8529,9105709.477
0,1,292243.979,9105681.913,0,ec24b4c7-4d00-452c-b63a-35a62f37e8bf,,,,0,,0,1,292243.979,9105681.913
0,1,292216.4153,9105585.787,0,ec24b4c7-4d00-452c-b63a-35a62f37e8bf,,,,0,,0,1,292216.4153,9105585.787
0,1,292120.2891,9105613.351,0,ec24b4c7-4d00-452c-b63a-35a62f37e8bf,,,,0,,0,1,292120.2891,9105613.351
0,1,292147.8529,9105709.477,0,ec24b4c7-4d00-452c-b63a-35a62f37e8bf,,,,1,,1,1,292243.979,9105681.913
1,1,292243.979,9105681.913,0,f1a8bff0-4698-48ab-ab97-c78e5d1bf239,,,,0,,1,1,292340.1052,9105654.35
1,1,292340.1052,9105654.35,0,f1a8bff0-4698-48ab-ab97-c78e5d1bf239,,,,0,,1,1,292312.5415,9105558.224
1,1,292312.5415,9105558.224,0,f1a8bff0-4698-48ab-ab97-c78e5d1bf239,,,,0,,1,1,292216.4153,9105585.787
1,1,292216.4153,9105585.787,0,f1a8bff0-4698-48ab-ab97-c78e5d1bf239,,,,0,,2,1,292120.2891,9105613.351
1,1,292243.979,9105681.913,0,f1a8bff0-4698-48ab-ab97-c78e5d1bf239,,,,1,,2,1,292216.4153,9105585.787
2,1,292120.2891,9105613.351,0,1d0538bf-ce04-40c6-bc93-8cec66e37882,,,,0,,2,1,292188.8516,9105489.661
2,1,292216.4153,9105585.787,0,1d0538bf-ce04-40c6-bc93-8cec66e37882,,,,0,,2,1,292092.7254,9105517.225
2,1,292188.8516,9105489.661,0,1d0538bf-ce04-40c6-bc93-8cec66e37882,,,,0,,3,1,292216.4153,9105585.787
2,1,292092.7254,9105517.225,0,1d0538bf-ce04-40c6-bc93-8cec66e37882,,,,0,,3,1,292312.5415,9105558.224
2,1,292120.2891,9105613.351,0,1d0538bf-ce04-40c6-bc93-8cec66e37882,,,,1,,3,1,292284.9777,9105462.097
3,1,292216.4153,9105585.787,0,44ad039f-204a-4a50-9207-b3554a61068c,,,,0,,3,1,292188.8516,9105489.661
3,1,292312.5415,9105558.224,0,44ad039f-204a-4a50-9207-b3554a61068c,,,,0,,4,1,292340.1052,9105654.35
3,1,292284.9777,9105462.097,0,44ad039f-204a-4a50-9207-b3554a61068c,,,,0,,4,1,292436.2314,9105626.786
3,1,292188.8516,9105489.661,0,44ad039f-204a-4a50-9207-b3554a61068c,,,,0,,4,1,292408.6676,9105530.66
3,1,292216.4153,9105585.787,0,44ad039f-204a-4a50-9207-b3554a61068c,,,,1,,4,1,292312.5415,9105558.224
4,1,292340.1052,9105654.35,0,bd0b8c5f-7deb-468a-a855-226ca6652aae,,,,0,,5,1,292312.5415,9105558.224
4,1,292436.2314,9105626.786,0,bd0b8c5f-7deb-468a-a855-226ca6652aae,,,,0,,5,1,292408.6676,9105530.66
4,1,292408.6676,9105530.66,0,bd0b8c5f-7deb-468a-a855-226ca6652aae,,,,0,,5,1,292381.1039,9105434.534
4,1,292312.5415,9105558.224,0,bd0b8c5f-7deb-468a-a855-226ca6652aae,,,,0,,5,1,292284.9777,9105462.097
4,1,292340.1052,9105654.35,0,bd0b8c5f-7deb-468a-a855-226ca6652aae,,,,1,,6,1,292436.2314,9105626.786
5,1,292312.5415,9105558.224,0,49dcd816-6af7-4d9c-9ec0-38cefeb246e9,,,,0,,6,1,292532.3575,9105599.222
5,1,292408.6676,9105530.66,0,49dcd816-6af7-4d9c-9ec0-38cefeb246e9,,,,0,,6,1,292504.7938,9105503.096
5,1,292381.1039,9105434.534,0,49dcd816-6af7-4d9c-9ec0-38cefeb246e9,,,,0,,6,1,292408.6676,9105530.66
5,1,292284.9777,9105462.097,0,49dcd816-6af7-4d9c-9ec0-38cefeb246e9,,,,0,,7,1,292408.6676,9105530.66
5,1,292312.5415,9105558.224,0,49dcd816-6af7-4d9c-9ec0-38cefeb246e9,,,,1,,7,1,292504.7938,9105503.096
6,1,292436.2314,9105626.786,0,ff8551c4-9ebc-4124-879d-1e5d0f8b0a8e,,,,0,,7,1,292477.2301,9105406.97
6,1,292532.3575,9105599.222,0,ff8551c4-9ebc-4124-879d-1e5d0f8b0a8e,,,,0,,7,1,292381.1039,9105434.534
6,1,292504.7938,9105503.096,0,ff8551c4-9ebc-4124-879d-1e5d0f8b0a8e,,,,0,,8,1,292532.3575,9105599.222
