FeatureID,X,Y,Elevation,KX,KY,KZ,INHD
0,292182.1341,9105647.632,-35.143002,0.3,0.3,0.003,8
1,292278.2603,9105620.068,-35.533001,0.3,0.3,0.003,8
2,292374.3864,9105592.505,-37.117001,0.3,0.3,0.003,8
3,292470.5126,9105564.941,-38.223999,0.3,0.3,0.003,7
4,292566.6388,9105537.377,-37.592999,0.3,0.3,0.003,8
5,292662.7649,9105509.814,-39.456001,0.3,0.3,0.003,7
6,292758.8911,9105482.25,-40.917999,0.3,0.3,0.003,7
7,292855.0173,9105454.686,-42.470001,0.3,0.3,0.003,7
8,292951.1434,9105427.122,-44.595001,0.3,0.3,0.003,7
9,293047.2696,9105399.559,-47.908001,0.3,0.3,0.003,7
10,293143.3958,9105371.995,-51.705002,0.3,0.3,0.003,5
11,292154.5703,9105551.506,-52.521999,0.3,0.3,0.003,6
12,292250.6965,9105523.942,-55.886002,0.3,0.3,0.003,3
13,292346.8227,9105496.379,-57.990002,0.3,0.3,0.003,3
14,292442.9489,9105468.815,-56.908001,0.3,0.3,0.003,1
15,292539.075,9105441.251,-60.365002,0.3,0.3,0.003,1
16,292635.2012,9105413.687,-57.744999,0.3,0.3,0.003,0
17,292731.3274,9105386.124,-61.207001,0.3,0.3,0.003,0
18,292827.4535,9105358.56,-57.161999,0.3,0.3,0.003,0
19,292923.5797,9105330.996,-60.717999,0.3,0.3,0.003,0
20,293019.7059,9105303.432,-57.738998,0.3,0.3,0.003,0
21,293115.832,9105275.869,-61.201,0.3,0.3,0.003,0
22,292127.0066,9105455.38,-39.659,0.3,0.3,0.003,8
23,292223.1328,9105427.816,-39.619,0.3,0.3,0.003,8
24,292319.259,9105400.252,-42.581001,0.3,0.3,0.003,8
25,292415.3851,9105372.689,-44.959,0.3,0.3,0.003,7
26,292511.5113,9105345.125,-49.604,0.3,0.3,0.003,6
27,292607.6375,9105317.561,-54.122002,0.3,0.3,0.003,5
28,292703.7636,9105289.997,-57.051998,0.3,0.3,0.003,4
29,292799.8898,9105262.434,-60.903,0.3,0.3,0.003,2
30,292896.016,9105234.87,-63.516998,0.3,0.3,0.003,0
31,292992.1421,9105207.306,-64.370003,0.3,0.3,0.003,0
32,293088.2683,9105179.743,-64.663002,0.3,0.3,0.003,0
33,292099.4429,9105359.254,-42.306,0.3,0.3,0.003,8
34,292195.569,9105331.69,-41.592999,0.3,0.3,0.003,8
35,292291.6952,9105304.126,-43.166,0.3,0.3,0.003,7
36,292387.8214,9105276.562,-46.066002,0.3,0.3,0.003,7
37,292483.9476,9105248.999,-49.915001,0.3,0.3,0.003,6
38,292580.0737,9105221.435,-53.313999,0.3,0.3,0.003,5
39,292676.1999,9105193.871,-58.657001,0.3,0.3,0.003,4
40,292772.3261,9105166.308,-63.922001,0.3,0.3,0.003,2
41,292868.4522,9105138.744,-67.271004,0.3,0.3,0.003,0
42,292964.5784,9105111.18,-67.417,0.3,0.3,0.003,0
43,293060.7046,9105083.616,-66.735001,0.3,0.3,0.003,0
44,292071.8791,9105263.128,-43.926998,0.3,0.3,0.003,8
45,292168.0053,9105235.564,-41.724998,0.3,0.3,0.003,9
46,292264.1315,9105208,-41.166,0.3,0.3,0.003,9
47,292360.2577,9105180.436,-43.264999,0.3,0.3,0.003,9
48,292456.3838,9105152.873,-47.792999,0.3,0.3,0.003,9
49,292552.51,9105125.309,-56.25,0.3,0.3,0.003,6
50,292648.6362,9105097.745,-63.708,0.3,0.3,0.003,2
51,292744.7623,9105070.181,-67.990997,0.3,0.3,0.003,1
52,292840.8885,9105042.618,-71.333,0.3,0.3,0.003,0
53,292937.0147,9105015.054,-70.766998,0.3,0.3,0.003,0
54,293033.1408,9104987.49,-71.264,0.3,0.3,0.003,0
55,292044.3154,9105167.001,-43.820999,0.3,0.3,0.003,7
56,292140.4416,9105139.438,-42.831001,0.3,0.3,0.003,8
57,292236.5677,9105111.874,-42.080002,0.3,0.3,0.003,9
58,292344.121,9105063.695,-45.095001,0.3,0.3,0.003,9
59,292428.8201,9105056.746,-53.381,0.3,0.3,0.003,6
60,292524.9463,9105029.183,-60.898998,0.3,0.3,0.003,4
61,292621.0724,9105001.619,-68.462997,0.3,0.3,0.003,2
62,292717.1986,9104974.055,-72.811997,0.3,0.3,0.003,0
63,292813.3248,9104946.491,-75.043999,0.3,0.3,0.003,0
64,292909.4509,9104918.928,-74.375,0.3,0.3,0.003,0
65,293005.5771,9104891.364,-75.059998,0.3,0.3,0.003,0
66,292016.7517,9105070.875,-43.286999,0.3,0.3,0.003,8
67,292112.8778,9105043.311,-44.797001,0.3,0.3,0.003,8
68,292209.004,9105015.748,-47.658001,0.3,0.3,0.003,9
69,292305.1302,9104988.184,-51.264999,0.3,0.3,0.003,10
70,292401.2564,9104960.62,-61.161999,0.3,0.3,0.003,8
71,292497.3825,9104933.057,-71.488998,0.3,0.3,0.003,5
72,292593.5087,9104905.493,-76.356003,0.3,0.3,0.003,3
73,292689.6349,9104877.929,-77.728996,0.3,0.3,0.003,0
74,292785.761,9104850.365,-78.070999,0.3,0.3,0.003,0
75,292881.8872,9104822.802,-77.639,0.3,0.3,0.003,0
76,292978.0134,9104795.238,-78.097,0.3,0.3,0.003,0
77,291989.1879,9104974.749,-45.199001,0.3,0.3,0.003,8
78,292085.3141,9104947.185,-44.821999,0.3,0.3,0.003,8
79,292181.4403,9104919.622,-51.893002,0.3,0.3,0.003,10
80,292277.5664,9104892.058,-59.306,0.3,0.3,0.003,11
81,292373.6926,9104864.494,-69.473999,0.3,0.3,0.003,11
82,292469.8188,9104836.93,-75.054001,0.3,0.3,0.003,9
83,292565.945,9104809.367,-78.650002,0.3,0.3,0.003,4
84,292662.0711,9104781.803,-78.661003,0.3,0.3,0.003,0
85,292758.1973,9104754.239,-78.678001,0.3,0.3,0.003,0
86,292854.3235,9104726.675,-78.653,0.3,0.3,0.003,0
87,292950.4496,9104699.112,-78.677002,0.3,0.3,0.003,0
88,291961.6242,9104878.623,-44.136002,0.3,0.3,0.003,8
89,292057.7504,9104851.059,-46.891998,0.3,0.3,0.003,9
90,292153.8765,9104823.495,-55.368,0.3,0.3,0.003,10
91,292250.0027,9104795.932,-62.986,0.3,0.3,0.003,10
92,292346.1289,9104768.368,-69.415001,0.3,0.3,0.003,8
93,292442.255,9104740.804,-75.916,0.3,0.3,0.003,6
94,292538.3812,9104713.24,-78.361999,0.3,0.3,0.003,3
95,292634.5074,9104685.677,-78.835999,0.3,0.3,0.003,0
96,292730.6336,9104658.113,-78.848,0.3,0.3,0.003,0
97,292826.7597,9104630.549,-78.825996,0.3,0.3,0.003,0
98,292922.8859,9104602.985,-78.848,0.3,0.3,0.003,0
99,291934.0605,9104782.497,-42.869999,0.3,0.3,0.003,8
100,292030.1866,9104754.933,-47.728001,0.3,0.3,0.003,9
101,292126.3128,9104727.369,-54.272999,0.3,0.3,0.003,9
102,292222.439,9104699.805,-63.736,0.3,0.3,0.003,8
103,292318.5651,9104672.242,-70.870003,0.3,0.3,0.003,7
104,292414.6913,9104644.678,-75.444,0.3,0.3,0.003,4
105,292510.8175,9104617.114,-78.069,0.3,0.3,0.003,2
106,292606.9437,9104589.551,-78.859001,0.3,0.3,0.003,0
107,292703.0698,9104561.987,-79.014999,0.3,0.3,0.003,0
108,292799.196,9104534.423,-78.986,0.3,0.3,0.003,0
109,292895.3222,9104506.859,-79.018997,0.3,0.3,0.003,0
110,291906.4967,9104686.371,-43.706001,0.3,0.3,0.003,8
111,292002.6229,9104658.807,-44.669998,0.3,0.3,0.003,9
112,292098.7491,9104631.243,-54.417999,0.3,0.3,0.003,9
113,292194.8752,9104603.679,-61.172001,0.3,0.3,0.003,10
114,292291.0014,9104576.116,-69.749,0.3,0.3,0.003,7
115,292387.1276,9104548.552,-74.560997,0.3,0.3,0.003,4
116,292483.2537,9104520.988,-76.700996,0.3,0.3,0.003,2
117,292579.3799,9104493.424,-78.689003,0.3,0.3,0.003,0
118,292675.5061,9104465.861,-79.130997,0.3,0.3,0.003,0
119,292771.6323,9104438.297,-79.146004,0.3,0.3,0.003,0
120,292867.7584,9104410.733,-79.141998,0.3,0.3,0.003,0
121,291878.933,9104590.244,-43.539001,0.3,0.3,0.003,8
122,291975.0592,9104562.681,-42.887001,0.3,0.3,0.003,8
123,292071.1853,9104535.117,-49.807999,0.3,0.3,0.003,8
124,292167.3115,9104507.553,-59.569,0.3,0.3,0.003,7
125,292263.4377,9104479.989,-66.686997,0.3,0.3,0.003,5
126,292359.5638,9104452.426,-72.042,0.3,0.3,0.003,3
127,292455.69,9104424.862,-75.941002,0.3,0.3,0.003,1
128,292551.8162,9104397.298,-78.084,0.3,0.3,0.003,0
129,292647.9424,9104369.734,-79.023003,0.3,0.3,0.003,0
