Z,INHD
-29.676500,8.000000
-30.017001,8.000000
-31.123501,8.000000
-32.337501,7.000000
-32.221999,8.000000
-33.600000,7.000000
-35.839500,7.000000
-36.879999,7.000000
-39.800001,7.000000
-42.901501,7.000000
-47.482000,5.000000
-47.962000,6.000000
-51.948000,3.000000
-53.973000,3.000000
-53.019501,1.000000
-56.645001,1.000000
-53.901998,0.000000
-57.588001,0.000000
-53.281500,0.000000
-57.066999,0.000000
-53.895498,0.000000
-57.581501,0.000000
-33.096000,8.000000
-33.130001,8.000000
-36.417000,8.000000
-38.961500,7.000000
-44.091499,6.000000
-49.146000,5.000000
-52.490999,4.000000
-56.932001,2.000000
-59.999500,0.000000
-60.955500,0.000000
-61.267500,0.000000
-35.378000,8.000000
-34.557500,8.000000
-36.306000,7.000000
-39.562500,7.000000
-43.972000,6.000000
-47.862000,5.000000
-54.018501,4.000000
-60.104999,2.000000
-63.980999,0.000000
-64.200001,0.000000
-63.473501,0.000000
-37.048000,8.000000
-34.417000,9.000000
-33.657001,9.000000
-35.978000,9.000000
-41.179501,9.000000
-50.951500,6.000000
-59.546000,2.000000
-64.477999,1.000000
-68.353500,0.000000
-67.766499,0.000000
-68.296001,0.000000
-37.172501,7.000000
-35.851501,8.000000
-34.749499,9.000000
-37.919500,9.000000
-47.327499,6.000000
-55.999500,4.000000
-64.731501,2.000000
-69.793499,0.000000
-72.319500,0.000000
-71.608501,0.000000
-72.337498,0.000000
-36.818499,8.000000
-38.308001,8.000000
-41.288000,9.000000
-45.126001,10.000000
-56.161499,8.000000
-67.933498,5.000000
-73.546501,3.000000
-75.172001,0.000000
-75.542000,0.000000
-75.082001,0.000000
-75.569000,0.000000
-39.125000,8.000000
-38.613501,8.000000
-46.295000,10.000000
-54.466499,11.000000
-65.797497,11.000000
-72.054001,9.000000
-76.094502,4.000000
-76.155998,0.000000
-76.178001,0.000000
-76.153000,0.000000
-76.177002,0.000000
-38.250000,8.000000
-41.161001,9.000000
-50.437000,10.000000
-58.806501,10.000000
-65.904499,8.000000
-73.073502,6.000000
-75.771000,3.000000
-76.324997,0.000000
-76.348000,0.000000
-76.325996,0.000000
-76.348000,0.000000
-37.084999,8.000000
-42.348499,9.000000
-49.469500,9.000000
-59.822001,8.000000
-67.654999,7.000000
-72.635502,4.000000
-75.465500,2.000000
-76.330002,0.000000
-76.509003,0.000000
-76.486000,0.000000
-76.518997,0.000000
-37.869000,8.000000
-39.142500,9.000000
-49.866999,9.000000
-57.240000,10.000000
-66.553001,7.000000
-71.723000,4.000000
-74.014999,2.000000
-76.148998,0.000000
-76.623501,0.000000
-76.646004,0.000000
-76.641998,0.000000
-37.281500,8.000000
-37.166500,8.000000
-45.051498,8.000000
-55.666000,7.000000
-63.347500,5.000000
-69.062000,3.000000
-73.221500,1.000000
-75.503498,0.000000
-76.501999,0.000000
-76.824997,0.000000
-76.848000,0.000000
-36.486000,7.000000
-37.722000,8.000000
-41.210001,8.000000
-48.694000,9.000000
-58.000000,7.000000
-67.757999,3.000000
-72.616501,2.000000
-76.197002,0.000000
-77.029999,0.000000
-76.995003,0.000000
-77.027000,0.000000
-36.817501,8.000000
-36.799999,8.000000
-40.702499,8.000000
-45.725500,8.000000
-53.704500,7.000000
-64.563500,4.000000
-73.763500,1.000000
-76.424499,0.000000
-77.202004,0.000000
-77.180000,0.000000
-77.202004,0.000000
