FeatureID,PartID,X,Y,Z,KX,KY,KZ,SLB_WHI_ID
0,1,292120.289132706,9105613.35098904,0,1,1,1,65239888-ad09-469c-8aa0-854d80ce4427
0,1,292147.852868288,9105709.47715864,0,1,1,1,65239888-ad09-469c-8aa0-854d80ce4427
0,1,292243.979037882,9105681.91342306,0,1,1,1,65239888-ad09-469c-8aa0-854d80ce4427
0,1,292216.4153023,9105585.78725346,0,1,1,1,65239888-ad09-469c-8aa0-854d80ce4427
0,1,292120.289132706,9105613.35098904,0,1,1,1,65239888-ad09-469c-8aa0-854d80ce4427
1,1,292216.4153023,9105585.78725346,0,1,1,1,edeb2e2f-60e2-4ce9-bb55-4e3af00cc305
1,1,292243.979037882,9105681.91342306,0,1,1,1,edeb2e2f-60e2-4ce9-bb55-4e3af00cc305
1,1,292340.105207476,9105654.34968747,0,1,1,1,edeb2e2f-60e2-4ce9-bb55-4e3af00cc305
1,1,292312.541471894,9105558.22351788,0,1,1,1,edeb2e2f-60e2-4ce9-bb55-4e3af00cc305
1,1,292216.4153023,9105585.78725346,0,1,1,1,edeb2e2f-60e2-4ce9-bb55-4e3af00cc305
2,1,292092.725397125,9105517.22481945,0,1,1,1,5b1a70e0-56c8-4ed7-bb40-0566503dc7c8
2,1,292120.289132706,9105613.35098904,0,1,1,1,5b1a70e0-56c8-4ed7-bb40-0566503dc7c8
2,1,292216.4153023,9105585.78725346,0,1,1,1,5b1a70e0-56c8-4ed7-bb40-0566503dc7c8
2,1,292188.851566718,9105489.66108387,0,1,1,1,5b1a70e0-56c8-4ed7-bb40-0566503dc7c8
2,1,292092.725397125,9105517.22481945,0,1,1,1,5b1a70e0-56c8-4ed7-bb40-0566503dc7c8
3,1,292188.851566718,9105489.66108387,0,1,1,1,fb431b82-0278-466f-a3cd-7aedbb4a4482
3,1,292216.4153023,9105585.78725346,0,1,1,1,fb431b82-0278-466f-a3cd-7aedbb4a4482
3,1,292312.541471894,9105558.22351788,0,1,1,1,fb431b82-0278-466f-a3cd-7aedbb4a4482
3,1,292284.977736312,9105462.09734829,0,1,1,1,fb431b82-0278-466f-a3cd-7aedbb4a4482
3,1,292188.851566718,9105489.66108387,0,1,1,1,fb431b82-0278-466f-a3cd-7aedbb4a4482
