Z,KX,KY,KZ
-9.733650,15.000000,15.000000,1.500000
-9.690350,15.000000,15.000000,1.500000
-10.312950,15.000000,15.000000,1.500000
-11.122350,15.000000,15.000000,1.500000
-11.056450,15.000000,15.000000,1.500000
-11.889800,15.000000,15.000000,1.500000
-13.215401,15.000000,15.000000,1.500000
-13.623800,15.000000,15.000000,1.500000
-15.470701,15.000000,15.000000,1.500000
-16.987050,15.000000,15.000000,1.500000
-20.539950,15.000000,15.000000,1.500000
-20.510149,15.000000,15.000000,1.500000
-24.137250,15.000000,15.000000,1.500000
-25.228149,15.000000,15.000000,1.500000
-25.613953,15.000000,15.000000,1.500000
-27.844025,15.000000,15.000000,1.500000
-26.484434,15.000000,15.000000,1.500000
-28.484501,15.000000,15.000000,1.500000
-26.200501,15.000000,15.000000,1.500000
-28.208200,15.000000,15.000000,1.500000
-26.525999,15.000000,15.000000,1.500000
-28.481001,15.000000,15.000000,1.500000
-11.084050,15.000000,15.000000,1.500000
-11.087350,15.000000,15.000000,1.500000
-12.981949,15.000000,15.000000,1.500000
-14.500251,15.000000,15.000000,1.500000
-17.692550,15.000000,15.000000,1.500000
-21.575400,15.000000,15.000000,1.500000
-24.075400,15.000000,15.000000,1.500000
-27.166705,15.000000,15.000000,1.500000
-29.743830,15.000000,15.000000,1.500000
-30.270650,15.000000,15.000000,1.500000
-30.436001,15.000000,15.000000,1.500000
-11.944100,15.000000,15.000000,1.500000
-11.620350,15.000000,15.000000,1.500000
-12.685300,15.000000,15.000000,1.500000
-14.632901,15.000000,15.000000,1.500000
-17.777250,15.000000,15.000000,1.500000
-20.639650,15.000000,15.000000,1.500000
-24.856901,15.000000,15.000000,1.500000
-28.815215,15.000000,15.000000,1.500000
-31.849045,15.000000,15.000000,1.500000
-31.993401,15.000000,15.000000,1.500000
-31.683251,15.000000,15.000000,1.500000
-12.833351,15.000000,15.000000,1.500000
-11.046900,15.000000,15.000000,1.500000
-10.401800,15.000000,15.000000,1.500000
-11.737400,15.000000,15.000000,1.500000
-15.393800,15.000000,15.000000,1.500000
-22.276249,15.000000,15.000000,1.500000
-28.377454,15.000000,15.000000,1.500000
-31.755730,15.000000,15.000000,1.500000
-34.188999,15.000000,15.000000,1.500000
-33.885049,15.000000,15.000000,1.500000
-34.166601,15.000000,15.000000,1.500000
-13.479100,15.000000,15.000000,1.500000
-12.402250,15.000000,15.000000,1.500000
-11.009500,15.000000,15.000000,1.500000
-12.533401,15.000000,15.000000,1.500000
-19.241000,15.000000,15.000000,1.500000
-25.293700,15.000000,15.000000,1.500000
-31.296290,15.000000,15.000000,1.500000
-34.800873,15.000000,15.000000,1.500000
-36.297501,15.000000,15.000000,1.500000
