FeatureID;X;Y;Elevation;Zone;Start_Time[day];Stop_Time[day];Rate[mm/yr]
0;292182.1341;9105647.632;7.9017;7;0.00E+00;3.65E+02;270
1;292278.2603;9105620.068;8.2603;7;0.00E+00;3.65E+02;270
2;292374.3864;9105592.505;7.8561;7;0.00E+00;3.65E+02;270
3;292470.5126;9105564.941;7.4142;7;0.00E+00;3.65E+02;270
4;292566.6388;9105537.377;7.1246;7;0.00E+00;3.65E+02;270
5;292662.7649;9105509.814;5.2422;7;0.00E+00;3.65E+02;270
6;292758.8911;9105482.25;2.8419;7;0.00E+00;3.65E+02;270
7;292855.0173;9105454.686;1.1528;7;0.00E+00;3.65E+02;270
8;292951.1434;9105427.122;0.27957;21;0.00E+00;3.65E+02;90
9;293047.2696;9105399.559;0;1;0.00E+00;3.65E+02;0
10;293143.3958;9105371.995;0;1;0.00E+00;3.65E+02;0
11;292154.5703;9105551.506;7.7481;7;0.00E+00;3.65E+02;270
12;292250.6965;9105523.942;7.4253;7;0.00E+00;3.65E+02;270
13;292346.8227;9105496.379;7.1724;7;0.00E+00;3.65E+02;270
14;292442.9489;9105468.815;7.2244;7;0.00E+00;3.65E+02;270
15;292539.075;9105441.251;7.0469;7;0.00E+00;3.65E+02;270
16;292635.2012;9105413.687;5.947;7;0.00E+00;3.65E+02;270
17;292731.3274;9105386.124;3.3033;7;0.00E+00;3.65E+02;270
18;292827.4535;9105358.56;0.54134;20;0.00E+00;3.65E+02;240
19;292923.5797;9105330.996;0;1;0.00E+00;3.65E+02;0
20;293019.7059;9105303.432;0;1;0.00E+00;3.65E+02;0
21;293115.832;9105275.869;0;1;0.00E+00;3.65E+02;0
22;292127.0066;9105455.38;7.6969;7;0.00E+00;3.65E+02;270
23;292223.1328;9105427.816;7.7893;7;0.00E+00;3.65E+02;270
24;292319.259;9105400.252;7.5741;7;0.00E+00;3.65E+02;270
25;292415.3851;9105372.689;7.2335;7;0.00E+00;3.65E+02;270
26;292511.5113;9105345.125;6.4209;7;0.00E+00;3.65E+02;270
27;292607.6375;9105317.561;4.9259;7;0.00E+00;3.65E+02;270
28;292703.7636;9105289.997;3.5539;7;0.00E+00;3.65E+02;270
29;292799.8898;9105262.434;1.858;36;0.00E+00;3.65E+02;210
30;292896.016;9105234.87;0.03478;1;0.00E+00;3.65E+02;0
31;292992.1421;9105207.306;0;1;0.00E+00;3.65E+02;0
32;293088.2683;9105179.743;0;1;0.00E+00;3.65E+02;0
33;292099.4429;9105359.254;7.9998;7;0.00E+00;3.65E+02;270
34;292195.569;9105331.69;7.7063;7;0.00E+00;3.65E+02;270
35;292291.6952;9105304.126;7.4774;7;0.00E+00;3.65E+02;270
36;292387.8214;9105276.562;7.1822;7;0.00E+00;3.65E+02;270
37;292483.9476;9105248.999;6.2306;7;0.00E+00;3.65E+02;270
38;292580.0737;9105221.435;5.0955;7;0.00E+00;3.65E+02;270
39;292676.1999;9105193.871;3.5548;7;0.00E+00;3.65E+02;270
40;292772.3261;9105166.308;1.9654;11;0.00E+00;3.65E+02;140
41;292868.4522;9105138.744;0.082805;1;0.00E+00;3.65E+02;0
42;292964.5784;9105111.18;0;1;0.00E+00;3.65E+02;0
43;293060.7046;9105083.616;0;1;0.00E+00;3.65E+02;0
44;292071.8791;9105263.128;8.0663;7;0.00E+00;3.65E+02;270
45;292168.0053;9105235.564;8.5782;7;0.00E+00;3.65E+02;270
46;292264.1315;9105208;8.9304;7;0.00E+00;3.65E+02;270
47;292360.2577;9105180.436;9.3128;7;0.00E+00;3.65E+02;270
48;292456.3838;9105152.873;8.5282;7;0.00E+00;3.65E+02;270
49;292552.51;9105125.309;5.6773;7;0.00E+00;3.65E+02;270
50;292648.6362;9105097.745;2.4658;30;0.00E+00;3.65E+02;250
51;292744.7623;9105070.181;0.53654;23;0.00E+00;3.65E+02;10
52;292840.8885;9105042.618;0;1;0.00E+00;3.65E+02;0
