Well_Name,X-world_co,Y-world_co,Start_Time,Stop_Time[,Rate[m^3/d,Number_of_,Screen_Top,Screen_Bot
VAZAR494,292182.13,9105647.6,0,1,-7.279759,1,6.735391,-32.951078
HRIII_7150,292220,9105575,0,1,-40,1,-36.010598,-183.86091
VAZAR495,292278.26,9105620.1,0,1,-7.279759,1,7.090798,-33.3593
HRIII_7121,292434.99,9105576,0,1,-40,1,-38.839877,-184.40829
VAZAR496,292374.39,9105592.5,0,1,-7.279759,1,6.677021,-28.790288
HRIII_7296,292527,9105546,0,1,-40,1,-42.539785,-185.36777
VAZAR497,292470.51,9105564.9,0,1,-7.279759,1,6.217856,-32.648682
VAZAR498,292566.64,9105537.4,0,1,-7.279759,1,5.908608,-36.849746
3075-P_04,292680,9105485,0,1,-44,1,-49.690943,-187.97195
4187-P_08,292604.84,9105448.6,0,1,-15,1,4.218897,-45.2393
VAZAR499,292662.76,9105509.8,0,1,-7.279759,1,3.950712,-45.030804
VAZAR500,292758.89,9105482.2,0,1,-7.279759,1,1.479714,-49.753922
VAZAR501,292855.02,9105454.7,0,1,-7.128595,1,-0.352077,-50.875766
4795-P_10,292171.08,9105517.1,0,1,-10,1,6.57747,-27.203447
4796-P_10,292134.38,9105507.7,0,1,-10,1,6.57747,-27.203447
HRIII_7142,292200,9105500,0,1,-40,1,-36.010598,-183.86091
HRIII_7449,292117,9105528,0,1,-10,1,6.57747,-27.203447
HRIII_7450,292115,9105503,0,1,-40,1,-37.333829,-183.86823
VAZAR568,292154.57,9105551.5,0,1,-7.279759,1,6.57747,-27.203447
HRIII_7178,292260,9105550,0,1,-40,1,-36.010598,-183.86091
VAZAR569,292250.7,9105523.9,0,1,-7.279759,1,6.249842,-28.494065
VAZAR570,292346.82,9105496.4,0,1,-7.279759,1,5.991761,-29.771027
HRIII_7119,292436,9105455,0,1,-40,1,-40.29344,-184.39366
HRIII_7120,292436,9105454,0,1,-40,1,-40.29344,-184.39366
VAZAR571,292442.95,9105468.8,0,1,-7.279759,1,6.025885,-33.273589
HRIII_7287,292573,9105459,0,1,-10,1,5.816532,-39.79099
HRIII_7289,292558,9105423,0,1,-40,1,-45.78775,-185.54451
VAZAR572,292539.08,9105441.3,0,1,-7.279759,1,5.816532,-39.79099
707-P_99,292673.67,9105430.3,0,1,-10.2,1,-50.440218,-186.67082
VAZAR573,292635.2,9105413.7,0,1,-7.279759,1,4.218897,-45.2393
VAZAR574,292731.33,9105386.1,0,1,-7.279759,1,1.272001,-51.727824
VAZAR575,292827.45,9105358.6,0,1,-6.390195,1,-1.022971,-54.664663
HRIII_7405,292105,9105489,0,1,-40,1,-37.333829,-183.86823
HRIII_7408,292078,9105440,0,1,-40,1,-37.333829,-183.86823
