Z,TOP,BOTTOM,TICKNES,ROW,COLUMN,LAYER,FeatureID,X,Y,Elevation,Zone,Start_Time,Stop_Time[,Rate[mm/yr
7.4017,7.9017,6.9017,1,7,50,1,0,292182.1341,9105647.632,7.9017,7,0,365,270
7.7603,8.2603,7.2603,1,7,51,1,1,292278.2603,9105620.068,8.2603,7,0,365,270
7.3561,7.8561,6.8561,1,7,52,1,2,292374.3864,9105592.505,7.8561,7,0,365,270
6.9142,7.4142,6.4142,1,7,53,1,3,292470.5126,9105564.941,7.4142,7,0,365,270
6.6246,7.1246,6.1246,1,7,54,1,4,292566.6388,9105537.377,7.1246,7,0,365,270
4.72015,5.2422,4.1981,1.0441,7,55,1,5,292662.7649,9105509.814,5.2422,7,0,365,270
2.2902,2.8419,1.7385,1.1034,7,56,1,6,292758.8911,9105482.25,2.8419,7,0,365,270
0.527947,1.1528,-0.096906,1.249706,7,57,1,7,292855.0173,9105454.686,1.1528,7,0,365,270
-0.31515,0.27957,-0.90987,1.18944,7,58,1,8,292951.1434,9105427.122,0.27957,21,0,365,90
-0.5,0,-1,1,7,59,1,9,293047.2696,9105399.559,0,1,0,365,0
-0.5,0,-1,1,7,60,1,10,293143.3958,9105371.995,0,1,0,365,0
7.2481,7.7481,6.7481,1,8,50,1,11,292154.5703,9105551.506,7.7481,7,0,365,270
6.9253,7.4253,6.4253,1,8,51,1,12,292250.6965,9105523.942,7.4253,7,0,365,270
6.6724,7.1724,6.1724,1,8,52,1,13,292346.8227,9105496.379,7.1724,7,0,365,270
6.7244,7.2244,6.2244,1,8,53,1,14,292442.9489,9105468.815,7.2244,7,0,365,270
6.5469,7.0469,6.0469,1,8,54,1,15,292539.075,9105441.251,7.0469,7,0,365,270
5.20785,5.947,4.4687,1.4783,8,55,1,16,292635.2012,9105413.687,5.947,7,0,365,270
2.4215,3.3033,1.5397,1.7636,8,56,1,17,292731.3274,9105386.124,3.3033,7,0,365,270
-0.105355,0.54134,-0.75205,1.29339,8,57,1,18,292827.4535,9105358.56,0.54134,20,0,365,240
-0.5,0,-1,1,8,58,1,19,292923.5797,9105330.996,0,1,0,365,0
-0.5002,0,-1.0004,1.0004,8,59,1,20,293019.7059,9105303.432,0,1,0,365,0
-0.5,0,-1,1,8,60,1,21,293115.832,9105275.869,0,1,0,365,0
7.1969,7.6969,6.6969,1,9,50,1,22,292127.0066,9105455.38,7.6969,7,0,365,270
7.2893,7.7893,6.7893,1,9,51,1,23,292223.1328,9105427.816,7.7893,7,0,365,270
7.0741,7.5741,6.5741,1,9,52,1,24,292319.259,9105400.252,7.5741,7,0,365,270
6.7335,7.2335,6.2335,1,9,53,1,25,292415.3851,9105372.689,7.2335,7,0,365,270
5.9209,6.4209,5.4209,1,9,54,1,26,292511.5113,9105345.125,6.4209,7,0,365,270
4.06505,4.9259,3.2042,1.7217,9,55,1,27,292607.6375,9105317.561,4.9259,7,0,365,270
2.74055,3.5539,1.9272,1.6267,9,56,1,28,292703.7636,9105289.997,3.5539,7,0,365,270
1.282295,1.858,0.70659,1.15141,9,57,1,29,292799.8898,9105262.434,1.858,36,0,365,210
-0.47944,0.03478,-0.99366,1.02844,9,58,1,30,292896.016,9105234.87,0.03478,1,0,365,0
-0.50015,0,-1.0003,1.0003,9,59,1,31,292992.1421,9105207.306,0,1,0,365,0
-0.5,0,-1,1,9,60,1,32,293088.2683,9105179.743,0,1,0,365,0
7.4998,7.9998,6.9998,1,10,50,1,33,292099.4429,9105359.254,7.9998,7,0,365,270
7.2063,7.7063,6.7063,1,10,51,1,34,292195.569,9105331.69,7.7063,7,0,365,270
6.9774,7.4774,6.4774,1,10,52,1,35,292291.6952,9105304.126,7.4774,7,0,365,270
6.6822,7.1822,6.1822,1,10,53,1,36,292387.8214,9105276.562,7.1822,7,0,365,270
5.52855,6.2306,4.8265,1.4041,10,54,1,37,292483.9476,9105248.999,6.2306,7,0,365,270
4.2691,5.0955,3.4427,1.6528,10,55,1,38,292580.0737,9105221.435,5.0955,7,0,365,270
2.714,3.5548,1.8732,1.6816,10,56,1,39,292676.1999,9105193.871,3.5548,7,0,365,270
1.357985,1.9654,0.75057,1.21483,10,57,1,40,292772.3261,9105166.308,1.9654,11,0,365,140
-0.454143,0.082805,-0.99109,1.073895,10,58,1,41,292868.4522,9105138.744,0.082805,1,0,365,0
-0.5019,0,-1.0038,1.0038,10,59,1,42,292964.5784,9105111.18,0,1,0,365,0
-0.57725,0,-1.1545,1.1545,10,60,1,43,293060.7046,9105083.616,0,1,0,365,0
7.5663,8.0663,7.0663,1,11,50,1,44,292071.8791,9105263.128,8.0663,7,0,365,270
8.0782,8.5782,7.5782,1,11,51,1,45,292168.0053,9105235.564,8.5782,7,0,365,270
8.4304,8.9304,7.9304,1,11,52,1,46,292264.1315,9105208,8.9304,7,0,365,270
8.553,9.3128,7.7932,1.5196,11,53,1,47,292360.2577,9105180.436,9.3128,7,0,365,270
7.4083,8.5282,6.2884,2.2398,11,54,1,48,292456.3838,9105152.873,8.5282,7,0,365,270
4.5569,5.6773,3.4365,2.2408,11,55,1,49,292552.51,9105125.309,5.6773,7,0,365,270
1.634945,2.4658,0.80409,1.66171,11,56,1,50,292648.6362,9105097.745,2.4658,30,0,365,250
