Well_Name,X-world_coor[m],Y-world_coord[m],Start_Time[day],Stop_Time[day],Rate[m^3/d],Number_of_Screen,Screen_Top1[m],Screen_Bot1[m]
1002-P_99,2.9223796E+05,9.1041228E+06,0.0000000E+00,1.0000000E+00,-2.9000000E+01,1,-6.3983997E+01,-1.9933318E+02
1065-P_99,2.9180529E+05,9.1056151E+06,0.0000000E+00,1.0000000E+00,-3.0000000E+01,1,-4.9784684E+01,-1.8652967E+02
1161-P_99,2.9225397E+05,9.1041502E+06,0.0000000E+00,1.0000000E+00,-2.0000000E+01,1,-6.2895796E+01,-1.9932800E+02
1318-P_99,2.9247439E+05,9.1046895E+06,0.0000000E+00,1.0000000E+00,-1.5000000E+01,1,-7.3694808E+01,-1.9817538E+02
1387-P_99,2.9193745E+05,9.1054862E+06,0.0000000E+00,1.0000000E+00,-3.0000000E+01,1,-4.3173667E+01,-1.8526899E+02
1389-P_99,2.9234425E+05,9.1052195E+06,0.0000000E+00,1.0000000E+00,-3.0000000E+01,1,-4.0695748E+01,-1.8591425E+02
1414-P_99,2.9220023E+05,9.1058251E+06,0.0000000E+00,1.0000000E+00,-5.8800000E+01,1,-3.1023620E+01,-1.8626236E+02
1551-P_00,2.9185495E+05,9.1056754E+06,0.0000000E+00,1.0000000E+00,-3.0000000E+01,1,-4.4275470E+01,-1.8588748E+02
1580-P_00,2.9238358E+05,9.1047263E+06,0.0000000E+00,1.0000000E+00,-4.3000000E+01,1,-6.6979279E+01,-1.9635604E+02
1832-P_00,2.9233392E+05,9.1047374E+06,0.0000000E+00,1.0000000E+00,-5.0000000E+01,1,-6.6979279E+01,-1.9635604E+02
1833-P_00,2.9227772E+05,9.1043101E+06,0.0000000E+00,1.0000000E+00,-5.0000000E+01,1,-6.5215500E+01,-1.9933901E+02
1926-P_01,2.9246298E+05,9.1046397E+06,0.0000000E+00,1.0000000E+00,-5.0000000E+01,1,-7.3185260E+01,-1.9937722E+02
1930-P_01,2.9174973E+05,9.1045934E+06,0.0000000E+00,1.0000000E+00,-3.6000000E+01,1,-4.1347051E+01,-1.9476674E+02
1942-P_01,2.9173661E+05,9.1054414E+06,0.0000000E+00,1.0000000E+00,-5.0000000E+01,1,-5.0739556E+01,-1.8777193E+02
195-P_98,2.9228700E+05,9.1043150E+06,0.0000000E+00,1.0000000E+00,-3.0000000E+01,1,-6.5215500E+01,-1.9933901E+02
2019-P_01,2.9254743E+05,9.1043215E+06,0.0000000E+00,1.0000000E+00,-8.0000000E+01,1,-7.6711685E+01,-1.9939372E+02
